100 2
3000 45 15
2000 60 10
100 3
3000 45 15
2000 60 10
4000 20 8
100 3
3000 45 15
2000 60 10
4000 20 7
100 3
3000 45 15
2000 60 10
4000 20 6
100 3
3000 45 15
2000 60 10
4000 20 5
100 3
300 34 6
500 33 7
500 27 4
100 3
200 45 2
200 45 2
200 45 2
100 3
200 40 2
200 45 2
200 45 2
100 3
2000 40 2
2000 45 2
2000 45 2
100 5
2000 50 5
1500 40 5
1200 30 5
1000 45 5
1000 2 10
1 3
100 21 40
100 33 31
100 51 49
1 3
100 21 40
100 33 31
100 51 29
27 7
1171 23 37
1171 23 39
1171 23 41
1171 23 43
1171 24 43
1171 27 43
1171 29 43
97 7
1171 23 37
1171 23 39
1171 23 41
1171 23 43
1171 24 43
1171 27 43
1171 29 43
97 11
1001 31 21
1503 37 41
1127 39 51
1384 41 16
1171 23 37
1171 23 39
1171 23 41
1171 23 43
1171 24 43
1171 27 43
1171 29 43
97 8
1001 31 21
1503 37 41
1127 39 51
1384 41 16
1171 23 37
1171 23 39
1171 23 41
1171 23 43
75 8
1001 31 21
1503 37 41
1127 39 51
1384 41 16
1171 23 37
1171 23 39
1171 23 41
1171 23 43
45 8
1001 31 21
1503 37 41
1127 39 51
1384 41 16
1171 23 37
1171 23 39
1171 23 41
1171 23 43
69 67
3107 46 39
9921 30 2
4440 56 6
2151 15 23
3444 18 15
4342 7 44
2485 46 11
1661 21 50
6195 85 9
8577 40 41
2322 22 1
6817 52 42
7129 1 59
8683 70 23
8718 23 48
7738 87 10
5152 17 75
375 28 27
3760 57 17
6870 68 8
66 84 4
6365 48 19
7262 15 24
1045 71 7
4034 1 55
9852 29 60
5179 30 0
5744 40 39
1834 17 24
9534 18 54
2939 45 43
5155 1 35
8260 59 1
6692 57 5
2600 11 77
506 67 16
5832 27 0
1058 65 4
7848 61 17
2393 76 22
6506 59 13
350 70 20
1821 49 14
9124 72 6
9862 44 14
3830 28 7
924 88 8
4136 9 25
7078 50 37
2427 0 55
8134 17 63
4262 18 2
8255 1 38
6293 71 23
1579 84 9
8146 5 59
6922 80 2
3085 31 54
3457 79 13
2029 9 0
3257 83 7
3151 29 71
7028 71 20
4987 51 21
5878 79 6
3376 67 17
6910 6 44
74 87
2941 67 22
8355 3 38
6194 30 41
2165 35 37
4556 59 39
5201 47 14
3216 15 77
2809 82 7
1625 12 24
6283 36 54
5103 2 86
8458 47 15
3841 63 14
7558 35 51
5502 37 39
472 76 11
1507 38 35
8420 79 20
9786 7 79
9139 83 8
1879 44 28
9565 82 15
7759 8 54
4110 7 37
3482 38 33
755 60 7
199 27 41
9197 34 50
4580 48 43
9990 81 17
4344 20 42
582 9 45
7060 27 33
1045 39 5
4705 56 13
3672 34 17
4225 33 38
9579 31 56
3619 58 10
7971 52 23
2151 86 13
9105 34 44
524 86 13
249 35 50
5838 5 33
4946 87 9
6968 47 38
4487 53 4
7001 54 34
4294 21 22
6583 35 44
5745 52 18
2422 77 2
5452 14 14
6784 63 29
4214 82 10
6341 40 28
3360 55 28
7706 47 29
1797 52 40
6703 35 11
7844 4 28
5801 32 59
7634 6 57
6544 17 44
9394 32 55
8774 8 59
9989 16 36
2615 51 25
272 40 57
3086 0 43
2129 16 23
8663 33 66
1051 8 80
2781 82 7
8609 79 19
4558 48 47
9754 0 40
7602 62 34
6181 34 43
864 27 26
7154 23 55
4030 14 17
3914 9 89
1178 52 5
4763 12 48
9959 75 9
91 96
8932 83 1
421 33 8
2183 38 40
8109 6 84
7241 28 65
5035 45 29
4959 70 18
7662 50 10
51 70 7
6997 11 78
3695 42 15
7993 46 29
9550 46 11
3043 21 71
3697 31 47
9458 8 40
9130 6 67
9979 4 27
7747 67 26
5472 26 21
5224 86 1
8222 45 2
9018 28 23
9737 28 42
4329 29 31
4261 2 56
4306 87 7
9107 40 12
5106 53 34
5628 28 0
3962 43 17
9039 53 27
1279 3 29
5022 34 4
7297 48 33
6421 51 7
8508 85 5
8515 80 5
5181 11 50
8558 89 4
5640 4 12
1200 30 15
2152 86 6
9122 76 6
6236 72 19
7193 70 5
1449 78 10
9212 50 13
9378 56 4
1851 75 5
2103 3 64
5356 18 3
909 36 34
8858 85 1
8938 29 56
6555 75 7
7048 9 21
3644 8 54
8685 23 40
5117 30 23
725 45 54
8392 71 6
7153 35 53
445 31 31
3290 89 4
2982 81 4
5941 70 18
1751 52 15
5 69 15
6963 80 4
1178 8 49
9372 37 29
2741 70 20
4517 12 80
2741 83 3
6884 83 10
1980 8 3
3794 10 19
9377 27 55
8105 62 21
