Case 1: 3095
0:64 1:36
Case 2: 4101
0:42 1:24 2:34
Case 3: 4070
0:45 1:27 2:28
Case 4: 4040
0:46 1:27 2:27
Case 5: 4011
0:46 1:27 2:27
Case 6: 459
0:35 1:38 2:27
Case 7: 279
0:76 1:17 2:7
Case 8: 269
0:76 1:17 2:7
Case 9: 2693
0:38 1:33 2:29
Case 10: 2689
0:27 1:21 2:17 3:14 4:21
Case 11: 109
0:1 1:0 2:0
Case 12: 109
0:1 1:0 2:0
Case 13: 2951
0:3 1:4 2:4 3:4 4:4 5:4 6:4
Case 14: 3974
0:13 1:14 2:13 3:14 4:14 5:14 6:15
Case 15: 6282
0:4 1:12 2:12 3:3 4:8 5:9 6:9 7:10 8:10 9:10 10:10
Case 16: 4907
0:6 1:17 2:16 3:6 4:12 5:14 6:13 7:13
Case 17: 4689
0:4 1:13 2:12 3:4 4:10 5:10 6:11 7:11
Case 18: 4268
0:1 1:9 2:8 3:1 4:6 5:6 6:7 7:7
Case 19: 154502
0:0 1:0 2:0 3:0 4:0 5:1 6:0 7:0 8:0 9:4 10:0 11:3 12:6 13:1 14:6 15:0 16:5 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:1 25:9 26:0 27:1 28:0 29:7 30:0 31:0 32:0 33:0 34:1 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:2 49:0 50:7 51:0 52:4 53:0 54:0 55:7 56:0 57:0 58:0 59:0 60:0 61:1 62:0 63:0 64:0 65:0 66:3
Case 20: 199276
0:0 1:2 2:1 3:0 4:0 5:0 6:0 7:0 8:0 9:2 10:4 11:0 12:0 13:3 14:0 15:0 16:0 17:0 18:8 19:0 20:0 21:0 22:4 23:0 24:0 25:0 26:0 27:4 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:5 38:0 39:0 40:0 41:3 42:0 43:0 44:0 45:0 46:1 47:0 48:0 49:0 50:1 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:2 63:4 64:1 65:5 66:5 67:3 68:0 69:0 70:0 71:0 72:6 73:0 74:0 75:0 76:0 77:3 78:1 79:1 80:0 81:3 82:0 83:2 84:0 85:0 86:0
Case 21: 274023
0:0 1:0 2:0 3:9 4:5 5:0 6:0 7:0 8:0 9:7 10:0 11:1 12:0 13:0 14:0 15:4 16:7 17:2 18:0 19:0 20:0 21:0 22:0 23:4 24:0 25:1 26:0 27:0 28:0 29:0 30:0 31:1 32:0 33:0 34:1 35:0 36:0 37:0 38:1 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:6 55:0 56:0 57:0 58:3 59:0 60:0 61:0 62:4 63:0 64:0 65:0 66:0 67:0 68:0 69:0 70:0 71:2 72:0 73:3 74:0 75:0 76:0 77:0 78:6 79:0 80:3 81:0 82:6 83:0 84:5 85:0 86:0 87:0 88:8 89:0 90:0 91:0 92:0 93:0 94:2 95:0
Case 22: 168973
0:0 1:0 2:0 3:2 4:2 5:0 6:0 7:0 8:1 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:1 17:0 18:0 19:0 20:0 21:0 22:4 23:0 24:0 25:0 26:0 27:0 28:8 29:0 30:0 31:0 32:0 33:0 34:7 35:0 36:0 37:0 38:0 39:2 40:0 41:2 42:8 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:8 55:0 56:0 57:4 58:0 59:3 60:3 61:0 62:0 63:0 64:0 65:0 66:0 67:6 68:0 69:0 70:2 71:0
Case 23: 148744
0:0 1:7 2:0 3:0 4:0 5:0 6:6 7:0 8:1 9:6 10:0 11:3 12:1 13:4 14:0 15:11 16:0 17:0 18:0 19:0 20:3 21:0 22:0 23:3 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:8 32:0 33:5 34:10 35:0 36:0 37:0 38:2 39:0 40:0 41:0 42:0 43:0 44:8 45:0 46:6 47:0 48:8 49:0 50:0 51:0 52:0 53:1 54:0 55:0 56:0 57:0 58:0
Case 24: 257089
0:0 1:0 2:0 3:0 4:0 5:8 6:0 7:0 8:0 9:0 10:1 11:2 12:0 13:4 14:2 15:0 16:0 17:0 18:5 19:0 20:0 21:0 22:0 23:0 24:2 25:1 26:0 27:4 28:1 29:0 30:0 31:1 32:0 33:0 34:0 35:4 36:5 37:0 38:5 39:0 40:3 41:0 42:4 43:0 44:4 45:0 46:3 47:0 48:0 49:0 50:10 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:1 62:0 63:0 64:0 65:1 66:0 67:0 68:0 69:0 70:0 71:0 72:0 73:0 74:0 75:0 76:2 77:6 78:2 79:7 80:0 81:0 82:0 83:3 84:0 85:0 86:0 87:0 88:0 89:0 90:1 91:0 92:0 93:0 94:2 95:3 96:0 97:0 98:0
Case 25: 178135
0:3 1:3 2:7 3:0 4:6 5:0 6:0 7:6 8:0 9:0 10:0 11:4 12:2 13:3 14:0 15:0 16:4 17:4 18:0 19:0 20:0 21:0 22:1 23:0 24:3 25:1 26:0 27:0 28:0 29:0 30:1 31:6 32:0 33:0 34:0 35:4 36:4 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:12 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:4 53:0 54:0 55:0 56:0 57:0 58:0 59:7 60:0 61:2 62:0 63:4 64:0 65:1 66:0 67:0 68:0 69:0 70:3
Case 26: 219608
0:0 1:0 2:3 3:0 4:0 5:0 6:0 7:7 8:0 9:5 10:0 11:1 12:2 13:2 14:0 15:1 16:3 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:1 27:0 28:2 29:3 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:4 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:2 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0 64:5 65:0 66:0 67:0 68:0 69:0 70:0 71:3 72:4 73:7 74:0 75:3 76:0 77:0 78:1 79:0 80:0 81:0 82:0 83:0 84:0 85:0 86:1 87:0 88:0 89:0 90:0 91:0 92:0 93:0 94:0
Case 27: 160811
0:0 1:0 2:0 3:0 4:6 5:0 6:2 7:0 8:0 9:0 10:0 11:0 12:1 13:0 14:0 15:0 16:0 17:3 18:0 19:0 20:0 21:0 22:8 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:2 32:0 33:0 34:6 35:0 36:0 37:0 38:0 39:4 40:0 41:0 42:1 43:0 44:0 45:0 46:0 47:0 48:7 49:0 50:1 51:0 52:0 53:0 54:0 55:8 56:0 57:0 58:3 59:0 60:0 61:0 62:0 63:5 64:0 65:7
Case 28: 210446
0:0 1:4 2:0 3:4 4:2 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:1 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:5 34:0 35:0 36:0 37:0 38:0 39:2 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:4 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:4 60:9 61:0 62:0 63:0 64:0 65:0 66:1 67:0 68:2 69:0 70:0 71:0 72:1 73:4 74:0 75:7 76:0 77:0 78:0 79:0 80:0 81:0 82:1 83:0 84:0 85:0 86:0 87:0 88:0 89:0 90:0 91:0 92:4 93:0 94:0 95:0 96:0
